ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,time_dt,floating_at_end,floating_at_low,direction,date
3729614,11057288,2026-08-28 18:12:20,1787940740325,0,0,26011001,11057288,3,0.01,4515.86,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-28 18:12:20,-59.409999999999854,-70.10999999999967,BUY,2026-08-28
3729603,11057285,2026-08-28 18:12:12,1787940732662,0,0,26011001,11057285,3,0.01,4514.36,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-28 18:12:12,-57.90999999999985,-68.60999999999967,BUY,2026-08-28
3730468,11058409,2026-08-28 18:19:28,1787941168550,0,0,26011001,11058409,3,0.01,4488.84,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-28 18:19:28,-32.39000000000033,-43.090000000000146,BUY,2026-08-28
3731638,11059731,2026-08-28 18:31:12,1787941872842,0,0,26011001,11059731,3,0.01,4486.83,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-28 18:31:12,-30.380000000000113,-41.07999999999993,BUY,2026-08-28
3731009,11058934,2026-08-28 18:23:57,1787941437305,0,0,26011001,11058934,3,0.01,4478.94,0.0,0.0,0.0,0.0,XAUUSD.u,STR B5,,2026-08-28 18:23:57,-22.48999999999978,-33.1899999999996,BUY,2026-08-28
3731000,11058932,2026-08-28 18:23:52,1787941432822,0,0,26011001,11058932,3,0.01,4477.45,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-28 18:23:52,-21.0,-31.699999999999818,BUY,2026-08-28
3730988,11058929,2026-08-28 18:23:39,1787941419629,0,0,26011001,11058929,3,0.01,4475.96,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-28 18:23:39,-19.51000000000022,-30.210000000000036,BUY,2026-08-28
3737322,11064783,2026-08-28 20:42:40,1787949760051,1,0,26011001,11064783,3,0.01,4447.24,0.0,0.0,0.0,0.0,XAUUSD.u,STR S6,,2026-08-28 20:42:40,-9.210000000000036,1.4899999999997817,SELL,2026-08-28
3738955,11064782,2026-08-28 21:38:00,1787953080322,0,0,26011001,11064782,3,0.01,4465.12,0.0,0.0,0.0,0.0,XAUUSD.u,STR B6,,2026-08-28 21:38:00,-8.670000000000073,-19.36999999999989,BUY,2026-08-28
3737547,11067174,2026-08-28 20:47:02,1787950022479,1,0,26011001,11067174,3,0.01,4448.73,0.0,0.0,0.0,0.0,XAUUSD.u,STR S5,,2026-08-28 20:47:02,-7.720000000000255,2.9799999999995634,SELL,2026-08-28
3737529,11067485,2026-08-28 20:46:45,1787950005182,1,0,26011001,11067485,3,0.01,4450.22,0.0,0.0,0.0,0.0,XAUUSD.u,STR S4,,2026-08-28 20:46:45,-6.229999999999563,4.470000000000255,SELL,2026-08-28
