kind,t,cycle,side,lvl,vol,price,open_p,close_p,profit,reason,anchor,step
order_place,2026-07-24T04:47:58.183000,81,S,26,0.15,4003.4100000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,27,0.15,4074.76,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,27,0.15,4002.06,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,28,0.15,4076.1,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,28,0.15,4000.7200000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,29,0.15,4077.4500000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,29,0.15,3999.37,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,30,0.15,4078.79,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,30,0.15,3998.03,,,,,,
deploy,2026-07-24T04:47:58.183000,81,,,,,,,,,4038.41,1.3461366666666665
fill,2026-07-24T04:47:58.459000,81,S,1,0.01,4036.3650000000002,,,,,,
fill,2026-07-24T04:48:01.081000,81,S,2,0.01,4034.565,,,,,,
fill,2026-07-24T04:48:39.172000,81,S,3,0.01,4033.2250000000004,,,,,,
fill,2026-07-24T04:48:46.254000,81,S,4,0.01,4031.7850000000003,,,,,,
fill,2026-07-24T04:48:47.054000,81,S,5,0.01,4029.4750000000004,,,,,,
fill,2026-07-24T04:48:47.054000,81,S,6,0.01,4029.4750000000004,,,,,,
close,2026-07-24T04:49:02.314000,81,S,1,0.01,,4036.3650000000002,4030.6,5.765000000000327,sl,,
close,2026-07-24T04:49:02.314000,81,S,2,0.01,,4034.565,4030.6,3.9650000000001455,sl,,
fill,2026-07-24T04:49:40.693000,81,S,7,0.01,4027.4950000000003,,,,,,
fill,2026-07-24T04:49:40.693000,81,S,8,0.01,4027.4950000000003,,,,,,
close,2026-07-24T04:50:43.122000,81,S,3,0.01,,4033.2250000000004,4027.85,5.375000000000455,sl,,
close,2026-07-24T04:50:43.122000,81,S,4,0.01,,4031.7850000000003,4027.85,3.9350000000004,sl,,
close,2026-07-24T04:50:55.067000,81,S,5,0.01,,4029.4750000000004,4029.2000000000003,0.27500000000009095,sl,,
close,2026-07-24T04:50:55.067000,81,S,6,0.01,,4029.4750000000004,4029.2000000000003,0.27500000000009095,sl,,
fill,2026-07-24T04:55:08.622000,81,S,9,0.01,4025.105,,,,,,
fill,2026-07-24T04:58:26.706000,81,S,10,0.01,4023.7850000000003,,,,,,
close,2026-07-24T05:06:11.787000,81,S,7,0.01,,4027.4950000000003,4026.63,0.8650000000002365,sl,,
close,2026-07-24T05:06:11.787000,81,S,8,0.01,,4027.4950000000003,4026.63,0.8650000000002365,sl,,
order_place,2026-07-24T05:13:12.346000,81,S,6,0.01,4030.33,,,,,,
order_place,2026-07-24T05:13:12.346000,81,S,7,0.01,4028.9900000000002,,,,,,
order_place,2026-07-24T05:13:12.346000,81,S,8,0.01,4027.64,,,,,,
order_place,2026-07-24T05:16:10.519000,81,S,5,0.01,4031.6800000000003,,,,,,
fill,2026-07-24T05:19:56.729000,81,S,6,0.01,4029.1850000000004,,,,,,
fill,2026-07-24T05:19:56.729000,81,S,5,0.01,4029.1850000000004,,,,,,
fill,2026-07-24T06:12:12.212000,81,S,7,0.01,4028.655,,,,,,
fill,2026-07-24T07:17:50.823000,81,S,8,0.01,4027.135,,,,,,
fill,2026-07-24T07:18:17.444000,81,S,11,0.06,4023.3450000000003,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,1,,,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,2,,,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,3,,,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,4,,,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,5,,,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,6,,,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,7,,,,,,,,
order_cancel,2026-07-24T07:18:17.444000,81,B,8,,,,,,,,
